predictor,q_raw,q_ln,width_factor_ln,cov_raw_ind,cov_ln_ind,cov_raw_big,cov_ln_big,ds,thr,seed,n_big,d_hi,ooe_bias,ooe_cov,ooe_unsafe
ML-HistGB,99.9256228521757,0.32501252984945506,1.9155888324917951,0.9242424242424242,0.9393939393939394,0.3942307692307692,0.5288461538461539,DEEP,0.7,0,312,500.0,1.7073844230603754,0.6695044540907111,0.1891025641025641
ML-RF,168.0488521161301,0.5163232011128267,2.8084883987713094,0.9545454545454546,0.9621212121212122,0.40705128205128205,0.5256410256410257,DEEP,0.7,0,312,500.0,2.2148262542361445,0.8156748420240473,0.16025641025641027
ACI-STM,252.80226198472894,0.5622615772702861,3.0787484116362216,0.9318181818181818,0.9090909090909091,0.5897435897435898,0.8269230769230769,DEEP,0.7,0,312,500.0,1.1058307711788244,0.4273926365864487,0.47115384615384615
ML-HistGB,126.25515581358627,0.34754865957676806,2.0039040827010735,0.9318181818181818,0.9696969696969697,0.3685897435897436,0.49038461538461536,DEEP,0.7,1,312,500.0,1.6832147769961472,0.5462078065455273,0.18269230769230768
ML-RF,175.35791736528836,0.4457493503587129,2.438781917989034,0.9242424242424242,0.9696969696969697,0.4230769230769231,0.44551282051282054,DEEP,0.7,1,312,500.0,2.1039151553247137,0.6769733729909503,0.14102564102564102
ACI-STM,216.9444088448996,0.5310976178002491,2.8927142135083175,0.8939393939393939,0.8560606060606061,0.5448717948717948,0.7852564102564102,DEEP,0.7,1,312,500.0,1.0963042709419686,0.42739263658644866,0.47115384615384615
ML-HistGB,106.50595866259835,0.24666019369169945,1.6377451502258076,0.9318181818181818,0.8712121212121212,0.3974358974358974,0.4166666666666667,DEEP,0.7,2,312,500.0,1.3854280897248001,0.6111303371224992,0.375
ML-RF,193.19170026048675,0.4066283119202261,2.2552405105726074,0.9545454545454546,0.9015151515151515,0.5224358974358975,0.5673076923076923,DEEP,0.7,2,312,500.0,1.6903216744786074,0.6617118296546289,0.28846153846153844
ACI-STM,249.69508891429314,0.6206082043603578,3.459819460703089,0.9545454545454546,0.9696969696969697,0.5961538461538461,0.8782051282051282,DEEP,0.7,2,312,500.0,1.0751243378361626,0.4273926365864489,0.4807692307692308
ML-HistGB,132.81699527990622,0.36210518669867486,2.0631013768836635,0.9363057324840764,0.9426751592356688,0.4186046511627907,0.5162790697674419,DEEP,0.75,0,215,532.0,1.727909510318441,0.5882721754831326,0.17209302325581396
ML-RF,239.01459368099904,0.4727235725968768,2.5739640569659676,0.9681528662420382,0.9299363057324841,0.4232558139534884,0.4186046511627907,DEEP,0.75,0,215,532.0,2.263053466993281,0.7535316819964356,0.13488372093023257
ACI-STM,263.2397254927222,0.5521996440494901,3.017411329378046,0.89171974522293,0.89171974522293,0.5813953488372093,0.8232558139534883,DEEP,0.75,0,215,532.0,1.2721351693667102,0.3829146404483333,0.3116279069767442
ML-HistGB,136.39641111608955,0.32254910608412324,1.906174229583241,0.9299363057324841,0.9617834394904459,0.4186046511627907,0.5069767441860465,DEEP,0.75,1,215,532.0,1.7884078001057013,0.6989264140548547,0.20930232558139536
ML-RF,171.1866433034587,0.4375219104518937,2.3989804171538327,0.9299363057324841,0.9681528662420382,0.4186046511627907,0.49767441860465117,DEEP,0.75,1,215,532.0,1.9989063156812024,0.7608605783051087,0.2372093023255814
ACI-STM,277.48635729525506,0.5373722124328619,2.9292441628881574,0.9044585987261147,0.9044585987261147,0.6,0.786046511627907,DEEP,0.75,1,215,532.0,1.2951019530179124,0.38291464044833345,0.2930232558139535
ML-HistGB,127.4555397857905,0.263631891812655,1.6942900162707446,0.910828025477707,0.8598726114649682,0.4186046511627907,0.4325581395348837,DEEP,0.75,2,215,532.0,1.8393994091049233,0.7296989896000392,0.24186046511627907
ML-RF,166.0451542163314,0.3353561460183778,1.955629804185957,0.8980891719745223,0.8152866242038217,0.40930232558139534,0.37209302325581395,DEEP,0.75,2,215,532.0,2.2048959941585116,0.7691590173212364,0.17674418604651163
ACI-STM,260.25318071247796,0.5980364424127815,3.3071040095168596,0.8726114649681529,0.9171974522292994,0.586046511627907,0.8511627906976744,DEEP,0.75,2,215,532.0,1.295439653034422,0.3829146404483335,0.2930232558139535
ML-HistGB,119.7329879883431,0.3071020731853169,1.848185129255645,0.9101796407185628,0.9101796407185628,0.28488372093023256,0.3430232558139535,DEEP,0.8,0,172,597.0,1.8137286441716516,0.5685545783431605,0.1511627906976744
ML-RF,182.50880423719775,0.4779411984693622,2.6009646538783873,0.9281437125748503,0.9101796407185628,0.313953488372093,0.43023255813953487,DEEP,0.8,0,172,597.0,2.191933037514755,0.7350969672258959,0.12790697674418605
ACI-STM,273.1706408031922,0.5684675020884224,3.117199504956186,0.8922155688622755,0.8982035928143712,0.5465116279069767,0.8313953488372093,DEEP,0.8,0,172,597.0,1.2740861505641108,0.38256703686006494,0.29651162790697677
ML-HistGB,144.29058503162992,0.4006874541298684,2.228602947612761,0.9281437125748503,0.9820359281437125,0.37790697674418605,0.5,DEEP,0.8,1,172,597.0,1.7466771910058183,0.5972381376724683,0.21511627906976744
ML-RF,166.74236456857307,0.430316879875714,2.3646588445233228,0.9041916167664671,0.9461077844311377,0.3313953488372093,0.45348837209302323,DEEP,0.8,1,172,597.0,1.9711724546440832,0.6238251233382177,0.14534883720930233
ACI-STM,301.2606541249304,0.6078420650468317,3.3726005728014754,0.8982035928143712,0.9341317365269461,0.5755813953488372,0.8662790697674418,DEEP,0.8,1,172,597.0,1.279005776454323,0.3825670368600648,0.28488372093023256
ML-HistGB,119.34374945010177,0.2848109352010102,1.7675985437236972,0.8682634730538922,0.9101796407185628,0.36046511627906974,0.4127906976744186,DEEP,0.8,2,172,597.0,1.70458689674057,0.5289533755317751,0.1569767441860465
ML-RF,144.34001697320593,0.36945849514452345,2.0936668247069186,0.8562874251497006,0.8562874251497006,0.32558139534883723,0.37209302325581395,DEEP,0.8,2,172,597.0,2.0411492964644475,0.6189641959444382,0.12790697674418605
ACI-STM,229.78819408011827,0.5820362959105498,3.202951062358489,0.8383233532934131,0.9101796407185628,0.4883720930232558,0.8313953488372093,DEEP,0.8,2,172,597.0,1.314092196333547,0.38256703686006494,0.2616279069767442
