predictor,q_raw,q_ln,width_factor_ln,cov_raw_ind,cov_ln_ind,cov_raw_big,cov_ln_big,ds,thr,seed,n_big,d_hi,ooe_bias,ooe_cov,ooe_unsafe
ML-HistGB,24.942239575205853,0.7224819625974632,4.2416991215913535,0.9333333333333333,1.0,0.48148148148148145,0.654320987654321,FRP,0.7,0,81,310.0,1.9751994239971122,0.5776750891575352,0.09876543209876543
ML-RF,33.294917544183114,0.7272454575550253,4.282302854913612,0.9333333333333333,0.9333333333333333,0.5308641975308642,0.6172839506172839,FRP,0.7,0,81,310.0,2.1744966849354634,0.561914261013506,0.024691358024691357
ACI440,15.870927681835973,0.52668263734857,2.867284098785995,0.9111111111111111,0.9111111111111111,0.5925925925925926,0.9876543209876543,FRP,0.7,0,81,310.0,0.9489607298905024,0.24762220159424314,0.6172839506172839
ML-HistGB,21.099239997545126,0.5734585283044562,3.1484713729047447,0.8888888888888888,0.9111111111111111,0.3950617283950617,0.5308641975308642,FRP,0.7,1,81,310.0,1.9043864992301438,0.44132928612846095,0.024691358024691357
ML-RF,31.701315517774525,0.5433136114291961,2.9642594070692656,0.9111111111111111,0.8666666666666667,0.5185185185185185,0.41975308641975306,FRP,0.7,1,81,310.0,2.07698031717829,0.39165772679055805,0.012345679012345678
ACI440,16.686657733303136,0.4572636602192284,2.4955953561518176,0.9555555555555556,0.9555555555555556,0.6172839506172839,0.9135802469135802,FRP,0.7,1,81,310.0,0.9305659423651416,0.24762220159424309,0.691358024691358
ML-HistGB,18.71961185558186,0.5570589097051784,3.0468790956312675,0.9555555555555556,1.0,0.4691358024691358,0.691358024691358,FRP,0.7,2,81,310.0,1.601936775974219,0.5053946829299736,0.20987654320987653
ML-RF,38.29109203798055,0.573216739482425,3.146949210607329,0.9555555555555556,0.9555555555555556,0.5925925925925926,0.5679012345679012,FRP,0.7,2,81,310.0,1.944955589741239,0.5376543925983452,0.08641975308641975
ACI440,18.221353752648014,0.7391482925221857,4.3854690412643835,0.9333333333333333,0.9777777777777777,0.6172839506172839,1.0,FRP,0.7,2,81,310.0,0.970474273476408,0.24762220159424306,0.5802469135802469
ML-HistGB,21.95547057780911,0.5235902510722998,2.849605324742856,0.8979591836734694,0.9183673469387755,0.47692307692307695,0.6153846153846154,FRP,0.75,0,65,325.25,1.9060396836188347,0.6720068348660054,0.16923076923076924
ML-RF,21.630361559339057,0.7931672759650312,4.885807393252185,0.8775510204081632,0.9387755102040817,0.4307692307692308,0.6923076923076923,FRP,0.75,0,65,325.25,2.0035758458245456,0.607860448719665,0.16923076923076924
ACI440,11.29852626268464,0.3738776312302998,2.112253236835043,0.8775510204081632,0.8775510204081632,0.4461538461538462,0.8769230769230769,FRP,0.75,0,65,325.25,0.951488863627807,0.2566052452360449,0.6461538461538462
ML-HistGB,23.65192955518893,0.567542399712202,3.1114373798172372,0.8367346938775511,0.8775510204081632,0.36923076923076925,0.5538461538461539,FRP,0.75,1,65,325.25,2.0511147785154895,0.5652691958507798,0.2
ML-RF,25.872602569416593,0.5333598402492017,2.9058317920763828,0.8571428571428571,0.8571428571428571,0.4461538461538462,0.5230769230769231,FRP,0.75,1,65,325.25,1.8703727054919848,0.48636023109824555,0.18461538461538463
ACI440,14.432363661616357,0.43301051624940046,2.3774322827778582,0.8979591836734694,0.9183673469387755,0.5076923076923077,0.9076923076923077,FRP,0.75,1,65,325.25,0.936618522720366,0.256605245236045,0.6461538461538462
