ds,thr,seed,model,arm,cov_ind,cov_big,width_factor,ooe_bias,ooe_cov,ooe_unsafe
STEEL,0.7,0,HistGB,baseline,0.8291457286432161,0.42670157068062825,1.6261226876765824,1.7091357813533554,0.5370510766749141,0.18848167539267016
STEEL,0.7,0,HistGB,residual-target,0.8743718592964824,0.8141361256544503,1.477437325340367,0.9791085140332582,0.15576618766892192,0.5759162303664922
STEEL,0.7,0,HistGB,physics-feature,0.8743718592964824,0.6047120418848168,1.5372832923014712,1.202005487620086,0.45239538915061733,0.4293193717277487
STEEL,0.7,0,RF,baseline,0.9095477386934674,0.4319371727748691,1.8094362023022184,1.8780433263936451,0.6082362039838687,0.19633507853403143
STEEL,0.7,0,RF,residual-target,0.8944723618090452,0.8507853403141361,1.504553617925687,0.9648626710161511,0.14097580153205724,0.6204188481675392
STEEL,0.7,0,RF,physics-feature,0.8743718592964824,0.6204188481675392,1.55066408503823,1.262745024913525,0.39114435496571,0.33507853403141363
STEEL,0.7,1,HistGB,baseline,0.9346733668341709,0.46596858638743455,1.8136314645352856,1.7345212130236731,0.5763020243230796,0.21204188481675393
STEEL,0.7,1,HistGB,residual-target,0.8844221105527639,0.8141361256544503,1.5241614853618264,0.9465681597681449,0.15352548371770153,0.662303664921466
STEEL,0.7,1,HistGB,physics-feature,0.8844221105527639,0.6308900523560209,1.6262307845524564,1.2572403617981451,0.478380640197765,0.42408376963350786
STEEL,0.7,1,RF,baseline,0.8944723618090452,0.42408376963350786,1.9372552480615954,2.0015085711934084,0.6443064162061084,0.18324607329842932
STEEL,0.7,1,RF,residual-target,0.8693467336683417,0.8089005235602095,1.5052638883215324,0.9513941353310806,0.14920483154196953,0.6596858638743456
STEEL,0.7,1,RF,physics-feature,0.8793969849246231,0.6387434554973822,1.6418484341939652,1.2741349684404573,0.4054415370472239,0.32460732984293195
STEEL,0.7,2,HistGB,baseline,0.949748743718593,0.4712041884816754,1.7856043409950688,1.6912587067357372,0.54435823446603,0.20680628272251309
STEEL,0.7,2,HistGB,residual-target,0.9296482412060302,0.8350785340314136,1.5659491998585637,0.9666308561497456,0.15757507075713575,0.599476439790576
STEEL,0.7,2,HistGB,physics-feature,0.9547738693467337,0.6335078534031413,1.7131835652620666,1.3613461059942298,0.5252332916916508,0.38219895287958117
STEEL,0.7,2,RF,baseline,0.9346733668341709,0.450261780104712,2.0018399221305985,1.9765312116663512,0.6184411709411897,0.17277486910994763
