predictor,q_raw,q_ln,width_factor_ln,cov_raw_ind,cov_ln_ind,cov_raw_big,cov_ln_big,ds,thr,seed,n_big,d_hi,ooe_bias,ooe_cov,ooe_unsafe
ML-HistGB,37.50682362613051,0.39978689258557143,2.224592572062659,0.9516129032258065,0.9516129032258065,0.22429906542056074,0.42990654205607476,SFRC,0.7,0,107,273.0,1.9327319784046297,0.6052362711305103,0.06542056074766354
ML-RF,56.83406883448764,0.4911024673213942,2.6703376755069317,0.9838709677419355,0.9838709677419355,0.17757009345794392,0.27102803738317754,SFRC,0.7,0,107,273.0,2.3037663231917556,0.5602721961171762,0.0
Narayanan-Darwish,35.40955667458586,0.406824636517249,2.2561262028132565,0.8387096774193549,0.9032258064516129,0.4672897196261682,0.9439252336448598,SFRC,0.7,0,107,273.0,1.0348754322329858,0.21018570161052214,0.45794392523364486
ML-HistGB,42.78606131718621,0.511573872707356,2.7819378283179597,0.9516129032258065,1.0,0.14953271028037382,0.37383177570093457,SFRC,0.7,1,107,273.0,2.2131479870144104,0.5489907109772042,0.018691588785046728
ML-RF,47.466358599067064,0.4862334091612883,2.6444598218843245,0.8870967741935484,0.9516129032258065,0.102803738317757,0.18691588785046728,SFRC,0.7,1,107,273.0,2.544647230230829,0.590521374360356,0.0
Narayanan-Darwish,65.1980498853373,0.45219164984726135,2.470407951850457,0.9032258064516129,0.8548387096774194,0.719626168224299,0.9626168224299065,SFRC,0.7,1,107,273.0,1.0524690072389709,0.21018570161052214,0.4485981308411215
ML-HistGB,59.346732894197814,0.5398534349501167,2.9438165033537502,0.9193548387096774,0.9516129032258065,0.29906542056074764,0.5327102803738317,SFRC,0.7,2,107,273.0,2.019445838646435,0.5766438608095616,0.028037383177570093
ML-RF,58.275276028898304,0.5384393144128423,2.935502443228179,0.9032258064516129,0.8870967741935484,0.3177570093457944,0.4766355140186916,SFRC,0.7,2,107,273.0,2.1104827649425597,0.5760042125364563,0.0
Narayanan-Darwish,59.708954232561894,0.7256266833190654,4.2684611105989045,0.9032258064516129,0.9516129032258065,0.7102803738317757,1.0,SFRC,0.7,2,107,273.0,0.9464186914783389,0.2101857016105221,0.5700934579439252
ML-HistGB,50.647614830497474,0.4417988013749472,2.419588786388024,0.9696969696969697,0.9242424242424242,0.2247191011235955,0.33707865168539325,SFRC,0.75,0,89,340.0,2.059281449510214,0.4379193161555537,0.011235955056179775
ML-RF,41.402860017336934,0.4688276733197405,2.5539861804177955,0.8939393939393939,0.9242424242424242,0.11235955056179775,0.34831460674157305,SFRC,0.75,0,89,340.0,2.157439351469938,0.5439682502616708,0.02247191011235955
Narayanan-Darwish,58.945853176904976,0.5737073961410317,3.150038869490057,0.9090909090909091,0.8939393939393939,0.6741573033707865,1.0,SFRC,0.75,0,89,340.0,1.0784690816863898,0.20237798895246958,0.4044943820224719
ML-HistGB,33.032059509273495,0.344975839768642,1.9936191983134848,0.8484848484848485,0.9545454545454546,0.056179775280898875,0.2247191011235955,SFRC,0.75,1,89,340.0,2.141567741981176,0.4837302069085816,0.0
ML-RF,38.3088654108726,0.45871062829806863,2.5028279100148545,0.8181818181818182,0.9090909090909091,0.0898876404494382,0.2696629213483146,SFRC,0.75,1,89,340.0,2.2518543489709093,0.5371034846284453,0.011235955056179775
Narayanan-Darwish,65.51957182474615,0.5543940230837485,3.0306831197318465,0.8939393939393939,0.8939393939393939,0.7191011235955056,1.0,SFRC,0.75,1,89,340.0,1.0691590575374854,0.20237798895246956,0.4044943820224719
ML-HistGB,48.842051181474176,0.38986611754833866,2.180888221984596,0.9090909090909091,0.9696969696969697,0.2247191011235955,0.34831460674157305,SFRC,0.75,2,89,340.0,2.0575645010522363,0.5208254528329157,0.033707865168539325
