ds,thr,seed,frac_infinite,cov_counting_inf,cov_finite_only,med_width_factor_finite,unweighted_width_factor,n_big
STEEL,0.7,0,0.6649214659685864,0.9554973821989529,0.8671875,1.5886266409741217,1.6261226876765824,382
STEEL,0.7,1,0.6649214659685864,0.9607329842931938,0.8828125,1.6531742924066928,1.8136314645352856,382
STEEL,0.7,2,0.6649214659685864,0.9633507853403142,0.890625,1.690699028596444,1.7856043409950688,382
STEEL,0.75,0,0.8217821782178218,0.9834983498349835,0.9074074074074074,1.6000677707428113,1.7616781126711853,303
STEEL,0.75,1,0.8217821782178218,0.9702970297029703,0.8333333333333334,1.777172294125597,1.6683226071541946,303
STEEL,0.75,2,0.8217821782178218,0.9966996699669967,0.9814814814814815,1.9683305476650808,1.6586560110472708,303
STEEL,0.8,0,0.9957805907172996,0.9957805907172996,0.0,1.9538027290379194,1.7434233720335734,237
STEEL,0.8,1,1.0,1.0,,,1.6913534871234908,237
STEEL,0.8,2,0.9957805907172996,0.9957805907172996,0.0,2.040675415238172,1.6097703985264493,237
FRP,0.7,0,1.0,1.0,,,4.2416991215913535,81
FRP,0.7,1,1.0,1.0,,,3.1484713729047447,81
FRP,0.7,2,1.0,1.0,,,3.0468790956312675,81
FRP,0.75,0,1.0,1.0,,,2.849605324742856,65
FRP,0.75,1,1.0,1.0,,,3.1114373798172372,65
FRP,0.75,2,1.0,1.0,,,2.226733380359414,65
FRP,0.8,0,1.0,1.0,,,3.6350349925404104,53
FRP,0.8,1,1.0,1.0,,,2.642446020726535,53
FRP,0.8,2,1.0,1.0,,,2.5855472374059634,53
